Title,URL,Name,Address,Phone,area,id,service,area_href
前往全家便利商店 全家基隆新樂強店,https://twcoupon.com/brandshop-11434-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e6%96%b0%e6%a8%82%e5%bc%b7%e5%ba%97.html,全家基隆新樂強店,204基隆市安樂區安樂路一段206號1樓,02-24254734,"基隆市', '安樂區",017009,"夯番薯,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-安樂區-電話-地址.html"
前往全家便利商店 全家基隆長庚店,https://twcoupon.com/brandshop-11435-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e9%95%b7%e5%ba%9a%e5%ba%97.html,全家基隆長庚店,204基隆市安樂區安樂路二段157號,02-24326001,"基隆市', '安樂區",022103,"Fami 霜淇淋,夯番薯","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-安樂區-電話-地址.html"
前往全家便利商店 全家基隆華復店,https://twcoupon.com/brandshop-11414-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e8%8f%af%e5%be%a9%e5%ba%97.html,全家基隆華復店,203基隆市中山區通化里中華路2號復旦路1號3號一樓,02-24282937,"基隆市', '中山區",017863,"夯番薯,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-中山區-電話-地址.html"
前往全家便利商店 全家基隆新站前店,https://twcoupon.com/brandshop-11430-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e6%96%b0%e7%ab%99%e5%89%8d%e5%ba%97.html,全家基隆新站前店,200基隆市仁愛區忠一路19號,02-24273646,"基隆市', '仁愛區",019437,夯番薯,"/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-仁愛區-電話-地址.html"
前往全家便利商店 全家基隆信一店,https://twcoupon.com/brandshop-11448-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e4%bf%a1%e4%b8%80%e5%ba%97.html,全家基隆信一店,201基隆市信義區信一路148號,02-24241255,"基隆市', '信義區",022465,"Fami 霜淇淋,夯番薯,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-信義區-電話-地址.html"
前往全家便利商店 全家基隆新祥豐店,https://twcoupon.com/brandshop-11418-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e6%96%b0%e7%a5%a5%e8%b1%90%e5%ba%97.html,全家基隆新祥豐店,202基隆市中正區中正路623號壹樓,02-24627260,"基隆市', '中正區",014328,"Fami 霜淇淋,夯番薯,休憩區,相片立可得","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-中正區-電話-地址.html"
前往全家便利商店 全家基隆武嶺店,https://twcoupon.com/brandshop-11436-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e6%ad%a6%e5%b6%ba%e5%ba%97.html,全家基隆武嶺店,204基隆市安樂區武嶺街181-6號1樓,02-24335573,"基隆市', '安樂區",016926,"Fami 霜淇淋,夯番薯,廁所,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-安樂區-電話-地址.html"
前往全家便利商店 全家基隆仁四店,https://twcoupon.com/brandshop-11429-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e4%bb%81%e5%9b%9b%e5%ba%97.html,全家基隆仁四店,200基隆市仁愛區仁四路52號1樓,02-24265932,"基隆市', '仁愛區",021517,"夯番薯,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-仁愛區-電話-地址.html"
前往全家便利商店 全家基隆樂華店,https://twcoupon.com/brandshop-11415-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e6%a8%82%e8%8f%af%e5%ba%97.html,全家基隆樂華店,203基隆市中山區西康里西定路467號1樓,02-24285782,"基隆市', '中山區",015669,"夯番薯,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-中山區-電話-地址.html"
前往全家便利商店 全家基隆經國店,https://twcoupon.com/brandshop-11417-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e7%b6%93%e5%9c%8b%e5%ba%97.html,全家基隆經國店,203基隆市中山區復興路336-1號,02-24374320,"基隆市', '中山區",010822,"夯番薯,廁所,休憩區,相片立可得,雙口味霜淇淋","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-中山區-電話-地址.html"
