shop_name,shop_number,address,phone,services
全家宜蘭大福店,019762,宜蘭縣宜蘭市大福路一段４３號，４５號,"03-9108022 , 03-9301476","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), Fami!ce(圓滾滾店), ChargeSPOT, picard, 鼎王麻辣蛋, 蒸新鮮, 塑環真®循環杯"
全家宜蘭學府店,015803,宜蘭縣宜蘭市女中路三段２３９號一樓,"03-9108025 , 03-9359495","夯番薯, Fami!ce(有販售店), 廁所, 休憩區, 烤馬鈴薯, 鼎王麻辣蛋, 塑環真®循環杯"
全家宜蘭縣府店,018047,宜蘭縣宜蘭市中山路一段３４６號一至二樓,"03-9108330 , 03-9253048","夯番薯, Fami!ce(有販售店), 廁所, 烤馬鈴薯, SOHOT炎選-現烤點心, picard, 塑環真®循環杯, SOHOT炎選-炸烤物, 馬尚煮"
全家宜蘭女中店,020296,宜蘭縣宜蘭市中山路二段１０７號１樓,"03-9108400 , 03-9330739","Fami!ce(有販售店), 烤馬鈴薯, ChargeSPOT, picard"
全家宜蘭中山店,018152,宜蘭縣宜蘭市中山路三段２１０號一樓,"03-9108402 , 03-9312463","夯番薯, ChargeSPOT"
全家宜蘭南館店,020625,宜蘭縣宜蘭市中山路三段２０、２２號１樓,"03-9108139 , 03-9367350","ChargeSPOT, 塑環真®循環杯"
全家宜蘭新吳沙店,014691,宜蘭縣宜蘭市中山路五段８１號一樓,03-9289296,"夯番薯, 廁所, 休憩區, ChargeSPOT"
全家宜蘭凱旋店,017176,宜蘭縣宜蘭市公園路１號,"03-9108189 , 03-9255043","夯番薯, Fami!ce(有販售店), 廁所, 休憩區, 烤馬鈴薯, SOHOT炎選-現烤點心, ChargeSPOT, picard"
全家宜蘭文昌店,015317,宜蘭縣宜蘭市文昌路１２０號,"03-9108192 , 03-9356428","夯番薯, Fami!ce(有販售店), 休憩區, Fami!ce(萌布朗店), 烤馬鈴薯, 鼎王麻辣蛋, 塑環真®循環杯"
全家宜蘭民族店,017526,宜蘭縣宜蘭市民族路２８１號一樓,"03-9108164 , 03-9334306","夯番薯, 休憩區, ChargeSPOT"
全家宜蘭新月店,022938,宜蘭縣宜蘭市民權路二段３８巷６號【新月廣場１樓】,03-9324619,"Fami!ce(有販售店), Fami!ce(萌布朗店), 烤馬鈴薯, 馬尚煮"
全家宜蘭車站店,018689,宜蘭縣宜蘭市光復路１號,"03-9108340 , 03-9310485","夯番薯, Fami!ce(雙口味店), Fami!ce(圓滾滾店), SOHOT炎選-現烤點心, 鼎王麻辣蛋"
全家宜蘭新延平店,018036,宜蘭縣宜蘭市延平路３８之４１號,"03-9108149 , 03-9373446","夯番薯, Fami!ce(有販售店), 廁所, ChargeSPOT, picard"
